Ich trete auf den Rasen.;Stąpam po trawie.
Gestern trat er auf eine Schnecke.;Wczoraj nadepnął na ślimaka.
Sie sind in einen Haufen Schlamm getreten.;Nadepnęli w kałużę błota.
Ich trinke Wasser.;Piję wodę.
Gestern trank sie Kaffee zum Frühstück.;Wczoraj piła kawę na śniadanie.
Sie haben den Saft getrunken.;Wypili sok.
Sie trugen schwere Rucksäcke.;Niosli ciężkie plecaki.
Gestern trugen sie alte Kleidung.;Wczoraj nosili stare ubrania.
Sie haben die Last gemeinsam getragen.;Wspólnie znosili ciężar.
Ich tue mein Bestes.;Robię, co w mojej mocy.
Gestern tat er Gutes für die Gemeinschaft.;Wczoraj zrobił coś dobrego dla społeczności.
Sie haben viel für die Umwelt getan.;Dużo zrobili dla środowiska.
Wir verbringen Zeit mit der Familie.;Spędzamy czas z rodziną.
Gestern verbrachte sie den Tag am Strand.;Wczoraj spędzała dzień na plaży.
Sie haben einen schönen Urlaub verbracht.;Spędzili piękne wakacje.
Ich vergesse oft meinen Schlüssel.;Często zapominam o kluczach.
Gestern vergaß er seinen Regenschirm.;Wczoraj zapomniał o swojej parasolce.
Sie haben den Termin vollständig vergessen.;Całkowicie zapomnieli o spotkaniu.
Ich verliere nie die Hoffnung.;Nigdy nie tracę nadziei.
Gestern verlor sie das Fußballspiel.;Wczoraj przegrała mecz piłkarski.
Sie haben das Spiel knapp verloren.;Przegrali grę z niewielką różnicą punktów.
