Ich komme um 8 Uhr an.;Przyjadę o godzinie 8.
Gestern kam er spät nach Hause.;Wczoraj wrócił do domu późno.
Sie ist gerade erst gekommen.;Ona właśnie dopiero co przyszła.
Ich kann Schwimmen.;Potrafię pływać.
Gestern konnte er das Rätsel nicht lösen.;Wczoraj nie potrafił rozwiązać zagadki.
Sie hat das schon immer gekonnt.;Ona zawsze potrafiła to robić.
Ich lade die Batterien auf.;Ładuję baterie.
Gestern lud er Freunde zur Party ein.;Wczoraj zaprosił przyjaciół na przyjęcie.
Sie haben viele Gäste geladen.;Oni zaprosili wielu gości.
Ich lasse das Fenster offen.;Pozwalam na otwarte okno.
Gestern ließ sie ihr Buch liegen.;Wczoraj zostawiła swoją książkę.
Er hat es nicht gesagt, er hat es lieber gelassen.;Nie powiedział tego, lepiej to zostawił.
Ich laufe jeden Morgen.;Biegam każdego ranka.
Gestern lief er einen Marathon.;Wczoraj pobiegł maraton.
Sie sind gestern viel gelaufen.;Wczoraj dużo chodzili.
Ich leide unter Kopfschmerzen.;Cierpię z powodu bólu głowy.
Gestern litt sie an Bauchschmerzen.;Wczoraj cierpiała z powodu bólu brzucha.
Sie haben lange genug gelitten.;Długo już wystarczająco cierpieli.
Ich leihe dir mein Auto.;Pożyczę ci mój samochód.
Gestern lieh er Geld von einem Freund.;Wczoraj pożyczył pieniądze od przyjaciela.
Sie haben uns Werkzeuge geliehen.;Oni pożyczyli nam narzędzia.
