Ich sollte zum Arzt gehen.;Powinienem iść do lekarza.
Gestern sollte er die Hausaufgaben machen.;Wczoraj powinien był zrobić pracę domową.
Sie haben das Geld schon längst ausgeben sollen.;Oni już dawno powinni byli wydać pieniądze.
Ich spreche Deutsch.;Mówię po niemiecku.
Gestern sprach sie mit ihrem Chef.;Wczoraj rozmawiała ze swoim szefem.
Sie haben über viele Themen gesprochen.;Rozmawiali na wiele tematów.
Ich springe über die Pfütze.;Skaczę przez kałużę.
Gestern sprang er über das Hindernis.;Wczoraj skoczył przez przeszkodę.
Sie haben einen Rekord im Weitsprung gesprungen.;Skoczyli rekord w skoku w dal.
Die Biene sticht.;Pszczoła żądli.
Gestern stach sie sich versehentlich.;Wczoraj żądliła się przypadkowo.
Sie haben eine Tätowierung gestochen.;Wytatuowali coś.
Ich stehe am Bahnhof.;Jestem na dworcu.
Gestern stand er in der Schlange.;Wczoraj stał w kolejce.
Sie haben stundenlang auf dich gewartet, ohne zu stehen.;Czekali na ciebie przez godziny, nie stojąc.
Er stiehlt Geld.;On kradnie pieniądze.
Gestern stahl sie Schmuck aus dem Laden.;Wczoraj ukradła biżuterię ze sklepu.
Sie haben keine Wertgegenstände gestohlen.;Nie ukradli żadnych kosztowności.
Ich steige die Treppe hinauf.;Wchodzę po schodach.
Gestern stieg er auf den Berg.;Wczoraj wspinał się na górę.
Sie sind auf das Dach gestiegen.;Weszli na dach.
