Es riecht nach frischem Brot.;Pachnie świeżym chlebem.
Gestern roch es nach Blumen im Garten.;Wczoraj pachniało kwiatami w ogrodzie.
Sie hat den Duft des Meeres gerochen.;Ona poczuła zapach morza.
Ich rufe nach dir.;Wołam cię.
Gestern rief sie den Namen ihres Hundes.;Wczoraj wołała imię swojego psa.
Sie haben nach dem Lehrer gerufen.;Wołali na nauczyciela.
Wir schaffen eine neue Welt.;Tworzymy nowy świat.
Gestern schuf er ein Kunstwerk.;Wczoraj stworzył dzieło sztuki.
Sie haben viel in kurzer Zeit geschaffen.;Stworzyli wiele w krótkim czasie.
Die Sonne scheint am Himmel.;Słońce świeci na niebie.
Gestern schien der Mond hell.;Wczoraj księżyc świecił jasno.
Der Stern hat am Nachthimmel geschienen.;Gwiazda świeciła na nocnym niebie.
Ich schiebe das Regal an die Wand.;Przesuwam regał do ściany.
Gestern schob er den Einkaufswagen im Supermarkt.;Wczoraj przesuwał wózek sklepowy w supermarkecie.
Sie haben den Tisch auf die Terrasse geschoben.;Przesunęli stół na taras.
Ich schieße auf das Ziel.;Strzelam do celu.
Gestern schoss er viele Fotos.;Wczoraj zrobił wiele zdjęć.
Sie haben auf das Tor geschossen.;Strzelali do bramki.
Ich schlafe gut in meinem Bett.;Śpię dobrze w moim łóżku.
Gestern schlief sie spät ein.;Wczoraj zasnęła późno.
Sie haben tief und fest geschlafen.;Śpili głęboko i mocno.
