Er biegt das Metall in eine neue Form.;On gięcie metal w nowy kształt.
Gestern bog er den Draht.;Wczoraj giął drut.
Das hatte ich noch nie gebogen.;Nigdy tego jeszcze nie giąłem.
Ich biete dir meine Hilfe an.;Oferuję ci swoją pomoc.
Gestern bot er ihr Blumen an.;Wczoraj zaoferował jej kwiaty.
Er hat uns sein Haus zum Verkauf angeboten.;On zaproponował nam swojego domu na sprzedaż.
Ich bitte um deine Erlaubnis.;Proszę o twoją zgodę.
Gestern bat sie um mehr Zeit.;Wczoraj prosiła o więcej czasu.
Sie hat uns höflich um Unterstützung gebeten.;Ona uprzejmie poprosiła nas o wsparcie.
Ich bleibe heute Abend zu Hause.;Dzisiaj wieczorem zostaję w domu.
Gestern blieb er im Büro.;Wczoraj został w biurze.
Wir sind eine Woche in Paris geblieben.;Zostaliśmy w Paryżu przez tydzień.
Ich brate Fisch zum Abendessen.;Smażę rybę na kolację.
Gestern briet er Hühnchen.;Wczoraj usmażył kurczaka.
Sie hat das Fleisch perfekt gebraten.;Ona doskonale usmażyła mięso.
Er bricht das Glas aus Versehen.;On rozbija szkło przez przypadek.
Gestern brach er sich den Arm.;Wczoraj złamał sobie rękę.
Sie hat das Versprechen gebrochen.;Ona złamała obietnicę.
Das Feuer brennt im Kamin.;Ogień płonie w kominku.
Gestern brannte das Lagerfeuer.;Wczoraj płonął ognisko.
Die Kerzen haben die ganze Nacht gebrannt.;Świece płonęły całą noc.
