Diese Regeln gelten für alle.;Te zasady obowiązują dla wszystkich.
Gestern galt die Warnung vor Unwettern.;Wczoraj obowiązywało ostrzeżenie przed burzami.
Das hat lange Zeit gegolten.;To obowiązywało przez długi czas.
Ich genieße die Sonne am Strand.;Cieszę się słońcem na plaży.
Gestern genoss er ein leckeres Essen.;Wczoraj delektował się pysznym jedzeniem.
Wir haben den Urlaub sehr genossen.;Bardzo cieszyliśmy się z wakacji.
Das Unglück geschah plötzlich.;Nieszczęście stało się nagle.
Gestern geschah nichts Besonderes.;Wczoraj nie wydarzyło się nic szczególnego.
Das ist schon lange geschehen.;To stało się już dawno.
Wir wollen das Spiel gewinnen.;Chcemy wygrać grę.
Gestern gewannen sie das Turnier.;Wczoraj wygrali turniej.
Sie haben den Preis gewonnen.;Oni zdobyli nagrodę.
Ich gieße die Blumen.;Podlewam kwiaty.
Gestern goss er Wasser in die Kanne.;Wczoraj nalewał wodę do dzbanka.
Wir haben die Pflanzen gut gegossen.;Dobrze podlaliśmy rośliny.
Ich greife nach dem Apfel.;Chwytam jabłko.
Gestern griff er nach dem Buch auf dem Regal.;Wczoraj sięgnął po książkę na półce.
Sie hat nach der Gelegenheit gegriffen.;Ona skorzystała z okazji.
Ich habe ein neues Auto.;Mam nowy samochód.
Gestern hatte er keine Zeit.;Wczoraj nie miał czasu.
Sie hat viel Erfahrung in diesem Bereich gehabt.;Ona miała dużo doświadczenia w tej dziedzinie.
