Ich halte die Tür für dich auf.;Trzymam drzwi dla ciebie.
Gestern hielt er die Präsentation.;Wczoraj przeprowadził prezentację.
Sie hat das Versprechen gehalten.;Ona dotrzymała obietnicy.
Das Bild hängt an der Wand.;Obraz wisiał na ścianie.
Gestern hing sie die Wäsche auf.;Wczoraj wywiesiła pranie.
Die Gardinen sind schön gehangen.;Zasłony ładnie zwisają.
Ich hebe die schwere Kiste.;Podnoszę ciężkie pudełko.
Gestern hob er Gewichte im Fitnessstudio.;Wczoraj podnosił ciężary na siłowni.
Wir haben zusammen den Tisch gehoben.;Razem podnieśliśmy stół.
Ich heiße Max.;Nazywam się Max.
Gestern hieß sie noch Müller.;Wczoraj nazywała się jeszcze Müller.
Sie hat mich herzlich willkommen geheißen.;Serdecznie mnie przywitała.
Ich helfe dir gern.;Chętnie ci pomogę.
Gestern half er einem alten Mann.;Wczoraj pomógł starszemu mężczyźnie.
Sie haben den Bedürftigen geholfen.;Pomogli potrzebującym.
Ich kenne diese Stadt gut.;Znam to miasto dobrze.
Gestern kannte er die Antwort nicht.;Wczoraj nie znał odpowiedzi.
Sie haben sich lange gekannt.;Długo się znali.
Die Musik klingt wunderschön.;Muzyka brzmi pięknie.
Gestern klang die Glocke.;Wczoraj zadzwonił dzwonek.
Das hat merkwürdig geklungen.;To brzmiało dziwnie.
