Ich schwimme gerne im See.;Lubię pływać w jeziorze.
Gestern schwamm er viele Runden im Pool.;Wczoraj przepłynął wiele okrążeń w basenie.
Sie hat im Meer geschwommen.;Ona pływała w morzu.
Ich sehe die Berge in der Ferne.;Widzę góry w oddali.
Gestern sah sie einen Film im Kino.;Wczoraj obejrzała film w kinie.
Sie hat das beeindruckende Schauspiel gesehen.;Ona widziała imponujący spektakl.
Ich bin heute glücklich.;Dziś jestem szczęśliwy.
Gestern war er sehr müde.;Wczoraj był bardzo zmęczony.
Sie sind oft im Ausland gewesen.;Często byli za granicą.
Wir senden Grüße aus dem Urlaub.;Wysyłamy pozdrowienia z wakacji.
Gestern sandte er eine E-Mail.;Wczoraj wysłał e-mail.
Sie haben uns wichtige Informationen gesandt.;Wysłali nam ważne informacje.
Ich singe gern Lieder.;Lubię śpiewać piosenki.
Gestern sang sie ein schönes Lied.;Wczoraj zaśpiewała piękną piosenkę.
Sie haben gemeinsam gesungen.;Razem śpiewali.
Das Schiff sank im Meer.;Statek zatonął na morzu.
Gestern sank die Sonne hinter dem Horizont.;Wczoraj słońce zaszło za horyzontem.
Die Preise sind in den letzten Jahren gesunken.;Ceny spadły w ostatnich latach.
Ich sitze auf einem Stuhl.;Siedzę na krześle.
Gestern saß er im Park und las ein Buch.;Wczoraj siedział w parku i czytał książkę.
Sie haben stundenlang am Tisch gesessen.;Przez godziny siedzieli przy stole.
