Ich biete dir einen Kaffee an.;Oferuję ci kawę.
Ich bot dir gestern einen Kaffee an.;Wczoraj oferowałem ci kawę.
Ich habe dir heute Morgen einen Kaffee angeboten.;Dziś rano zaoferowałem ci kawę.
Am Morgen ziehe ich mich an.;Rano ubieram się.
Gestern zog ich mich früh an.;Wczoraj wcześnie się ubrałem.
Ich habe mich heute früh angezogen.;Dziś rano ubrałem się.
Deine bunten Schuhe fallen sofort auf.;Twoje kolorowe buty od razu rzucają się w oczy.
Es fiel mir sofort auf.;Od razu mi się to rzuciło w oczy.
Es ist mir sofort aufgefallen.;Od razu zauważyłem.
Ich backe frische Brötchen zum Frühstück.;Piekę świeże bułeczki na śniadanie.
Gestern buk ich einen Kuchen.;Wczoraj upiekłem ciasto.
Ich habe schon oft Kekse gebacken.;Wcześniej często piekłem ciasteczka.
Der General befiehlt den Truppen, sich bereitzuhalten.;Generał rozkazuje wojsku, aby pozostawali w gotowości.
Der Lehrer befahl den Schülern, ruhig zu sein.;Nauczyciel polecił uczniom, aby byli cicho.
Er hat uns befohlen, auf ihn zu warten.;On kazał nam czekać na niego.
Die Vorlesung beginnt um 9 Uhr.;Wykład rozpoczyna się o godzinie 9.
Gestern begann die Reise nach Paris.;Wczoraj rozpoczęła się podróż do Paryża.
Wir haben das Projekt bereits begonnen.;Rozpoczęliśmy projekt już wcześniej.
Ich bekomme eine neue Brille.;Dostaję nowe okulary.
Gestern bekam ich ein Geschenk.;Wczoraj dostałem prezent.
Wir haben heute viele Aufgaben bekommen.;Dziś dostaliśmy wiele zadań.
