Der alte Mann starb im Schlaf.;Stary mężczyzna umarł we śnie.
Gestern starb sie im Krankenhaus.;Wczoraj umarła w szpitalu.
Sie ist bereits gestorben.;Ona już umarła.
Der Müll stinkt.;Śmieci śmierdzą.
Gestern stank es in der Küche.;Wczoraj śmierdziało w kuchni.
Es hat schrecklich gestunken.;To było strasznie śmierdzące.
Ich stoße gegen die Wand.;Uderzam w ścianę.
Gestern stieß er sich den Kopf.;Wczoraj uderzył głową.
Sie haben sich die Ellbogen gestoßen.;Uderzyli sobie łokcie.
Wir streiten über Politik.;Kłócimy się o politykę.
Gestern stritten sie sich um das Erbe.;Wczoraj kłócili się o spadek.
Sie haben sich oft gestritten.;Często się kłócili.
Ich nehme am Wettbewerb teil.;Biorę udział w konkursie.
Gestern nahm sie an der Konferenz teil.;Wczoraj brała udział w konferencji.
Sie haben an vielen Veranstaltungen teilgenommen.;Wzięli udział w wielu wydarzeniach.
Ich trage ein blaues Kleid.;Mam na sobie niebieską sukienkę.
Gestern trug er schwere Taschen.;Wczoraj niósł ciężkie torby.
Sie haben die Verantwortung getragen.;Ponosili odpowiedzialność.
Ich treffe meine Freunde im Park.;Spotykam się z przyjaciółmi w parku.
Gestern traf sie ihre Kollegen nach der Arbeit.;Wczoraj spotkała się z kolegami po pracy.
Sie haben viele Entscheidungen getroffen.;Podjęli wiele decyzji.
