Ich bringe dir eine Tasse Kaffee.;Przynoszę ci filiżankę kawy.
Gestern brachte sie Blumen mit.;Wczoraj przyniosła kwiaty.
Sie hat uns das Essen gebracht.;Ona przyniosła nam jedzenie.
Ich denke oft an dich.;Często o tobie myślę.
Gestern dachte er an seine Kindheit.;Wczoraj myślał o swoim dzieciństwie.
Er hat darüber nachgedacht.;On nad tym myślał.
Du darfst das nicht tun.;Nie wolno ci tego robić.
Gestern durfte sie länger aufbleiben.;Wczoraj mogła być dłużej w górę.
Sie hat den Kuchen nicht essen dürfen.;Ona nie mogła jeść ciasta.
Ich empfehle dieses Buch.;Polecam tę książkę.
Gestern empfahl er das Restaurant.;Wczoraj polecał restaurację.
Sie hat uns diese App empfohlen.;Ona poleciła nam tę aplikację.
Ich empfinde Freude bei deinem Erfolg.;Odczuwam radość z twojego sukcesu.
Gestern empfand sie Traurigkeit.;Wczoraj odczuwała smutek.
Er hat tiefe Dankbarkeit empfunden.;Odczuł głęboką wdzięczność.
Wir müssen uns jetzt entscheiden.;Musimy teraz podjąć decyzję.
Gestern entschieden sie sich für das rote Auto.;Wczoraj zdecydowali się na czerwony samochód.
Sie haben bereits über ihre Zukunft entschieden.;Oni już zdecydowali o swojej przyszłości.
Ich erschrecke leicht.;Łatwo się przestraszam.
Gestern erschrak sie vor dem lauten Geräusch.;Wczoraj przestraszyła się głośnego dźwięku.
Er hat sich beim Anblick des Unfalls erschrocken.;Przestraszył się widoku wypadku.
